"123","Art 1","Art"
"1234","Art III","123"
"12345","Theatre I","Art"
"123456","Advanced Photography","CTE"
"Agricultural Mechanics","Agricultural Mechanics","CTE"
"Career Development","Career Development","CTE"
"Computer Science Prog I","Computer Science Prog I","CTE"
"Entrepreneurship","Entrepreneurship","CTE"
"Family CSI","Family CSI","CTE"
"Graphic Design","Graphic Design synctime","CTE"
"Graphic Design II","Graphic Design II","CTE"
"Hospitality Administration","Hospitality Administration","CTE"
"Housing Interior Design","Housing Interior Design","CTE"
"Human Relations","Human Relations","CTE"
"asdf","KeyCodess","CTEss"
"Marketing","Marketing","CTE"
"College Composition I","CCollege Composition I","English"
"English I","English I","English"
"Algebra I","Algebra I","Math"
"Algebra II","Algebra II","Math"
"College Algebra","College Algebra","Math"
"Pre-AP Algebra II","Pre-AP Algebra II","Math"
"Orchestra III","Orchestra III","Music"
"Fitness Conditioning Wrestling","Fitness Conditioning Wrestling","PE"
"Health","Health","PE"
"Physical Dimension","Physical Dimension","PE"
"AP Biology","AP Biology","Science"
"AP Chemistry II","AP Chemistry II","Science"
"Pre-AP Biology","Pre-AP Biology","Science"
"AP Government Politics","AP Government Politics","Social Studies"
"Wartime America","Wartime America","Social Studies"
"NATIVE SPAN I","NATIVE SPAN I","World Language"
"Pre-AP French II","Pre-AP French II","World Language"
"590691","WATC","Career and Technical (formally DWE)"
"590771","WATC","Career and Technical (formally DWE)"
"590861","WATC","Career and Technical (formally DWE)"
"590871","WATC","Career and Technical (formally DWE)"
"591461","WATC","Career and Technical (formally DWE)"
"592551","WATC","Career and Technical (formally DWE)"
"592691","WATC","Career and Technical (formally DWE)"
"592701","WATC","Career and Technical (formally DWE)"
"593242","WATC","Career and Technical (formally DWE)"
"593252","WATC","Career and Technical (formally DWE)"
"WATCD1","WATC Dismissal 1","Career and Technical (formally DWE)"
"WATCD2","WATC Dismissal 2","Career and Technical (formally DWE)"
"971561","Transition I",""
"971562","Transition II",""
"999860","Advisory/Homeroom",""
"OOS1","Out of School Period 1",""
"OOS2","Out of School Period 2",""
"OOS3","Out of School Period 3",""
"OOS4","Out of School Period 4",""
"OOS5","Out of School Period 5",""
"OOS6","Out of School Period 6",""
"OOS7","Out of School Period 7",""
"490160","UAS Drones Level I","Career and Technical (formally DWE)"
"490170","UAS Drones Level II","Career and Technical (formally DWE)"
"490180","UAS Drones Level III","Career and Technical (formally DWE)"
"492770","Intro Supply Chain & Logistics","Career and Technical (formally DWE)"
"493862","Internship (2 Credits)","Career and Technical (formally DWE)"
"493961","Principles of Info Technology","Career and Technical (formally DWE)"
"494941","Principles Adv Manufacturing","Career and Technical (formally DWE)"
"495351","Principles of Health Science","Career and Technical (formally DWE)"
"579140","AP Microeconomics ADE Apv .5c","Career and Technical (formally DWE)"
"590321","WATC","Career and Technical (formally DWE)"
"590361","WATC","Career and Technical (formally DWE)"
"590411","WATC","Career and Technical (formally DWE)"
"WATCD3","WATC Dismissal 3","Career and Technical (formally DWE)"
"WATCD4","WATC Dismissal 4","Career and Technical (formally DWE)"
"WATCD5","WATC Dismissal 5","Career and Technical (formally DWE)"
"WATCD6","WATC Dismissal 6","Career and Technical (formally DWE)"
"WATCD7","WATC Dismissal 7","Career and Technical (formally DWE)"
"465010","CS Programming Level 1 (.5 c)","Career Education (ADE)"
"465020","CS Programming Level 2 (.5 c)","Career Education (ADE)"
"465310","Mobile App Dev Level 1 (.5 c)","Career Education (ADE)"
"465320","Mobile App Dev Level 2 (.5 c)","Career Education (ADE)"
"465330","Mobile App Dev Level 3 (.5 c)","Career Education (ADE)"
"465340","Mobile App Dev Level 4 (.5 c)","Career Education (ADE)"
"490890","Fashion and Interior Design","Career Education (ADE)"
"492230","AR Hospitality & Tourism (.5c)","Career Education (ADE)"
"492250","Hospitality Administration(.5)","Career Education (ADE)"
"497100","CC Intro Educational Foundatio","Career Education (ADE)"
"517070","AP Research","Career Education (ADE)"
"565811","CC Cyber Systems III","Career Education (ADE)"
"565821","CC Cyber Systems IV","Career Education (ADE)"
"565911","CC Cyber Systems I","Career Education (ADE)"
"590261","WATC","Career Education (ADE)"
"590431","WATC","Career Education (ADE)"
"590681","WATC","Career Education (ADE)"
"590821","CC Robotics III","Career Education (ADE)"
"590831","CC Robotics II","Career Education (ADE)"
"590851","CC Robotics IV","Career Education (ADE)"
"591471","WATC","Career Education (ADE)"
"592351","WATC","Career Education (ADE)"
"592601","CC Robotics I","Career Education (ADE)"
"592711","CC Cyber Systems II","Career Education (ADE)"
"UAFS4","UAFS Period 4","Career Education (ADE)"
"46501V","Virtual CS Prog Level 1 .5c","Computer Science"
"46502V","Virtual CS Prog Level 2 .5c","Computer Science"
"49212V","Virtual Survey of Business","Computer Science"
"565010","AP CB Comp Science Princ L1 .5","Computer Science"
"565020","AP CB Comp Science Princ L2 .5","Computer Science"
"565110","AP CB Comp Science A L1 (.5)","Computer Science"
"565120","AP CB Comp Science A L2 (.5)","Computer Science"
"492100","Computerized Accounting I","CT - Business and Marketing"
"49210V","Virtual Computerized Acct I","CT - Business and Marketing"
"492110","Computerized Accounting II","CT - Business and Marketing"
"49211V","Virtual Computerized Acct II","CT - Business and Marketing"
"492120","Survey of Business","CT - Business and Marketing"
"492320","Management","CT - Business and Marketing"
"492330","Marketing Business Enterprise","CT - Business and Marketing"
"492350","Marketing Management","CT - Business and Marketing"
"492690","Medical Office Administration","CT - Business and Marketing"
"539903","CC Probability & Statistics","CT - Business and Marketing"
"560020","E.A.S.T Initiative II","CT - Business and Marketing"
"560030","E.A.S.T Initiative III","CT - Business and Marketing"
"493020","Life Span Development","CT - Family and Consumer Science"
